REMARK SeriesTab Input: test.tab Output: axt.tab
REMARK Mode: Maximum Dimensions: 2
REMARK Input Region:    X +/- 5 X-ZF: 64
REMARK Analysis Region: X +/- 5
REMARK Input Region:    Y +/- 4 Y-ZF: 64
REMARK Analysis Region: Y +/- 4

VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT Z_A0 Z_A1 Z_A2 Z_A3 Z_A4 Z_A5 Z_A6 Z_A7 Z_A8 Z_A9 Z_A10
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

NULLVALUE -666
NULLSTRING *

    1    71.936   755.039  0.023  0.019    8.508  112.493  7655.612 10257.761   3.983   2.873   14.822    5.755   70   74  754  756 +2.888167e+07 +1.506352e+05 +2.403217e+07 0.00000 1 G67    1    1  1.0000  0.9308  0.8501  0.7929  0.7369  0.6256  0.5423  0.4648  0.4109  0.3505  0.3124
    2    99.591   812.258  0.075  0.060    8.394  111.235  7552.689 10143.115   4.243   3.376   15.792    6.764   98  101  811  813 +1.731462e+07 +1.532584e+05 +1.546027e+07 0.00000 1 G73    2    1  1.0000  0.9227  0.8324  0.7538  0.6893  0.5760  0.5150  0.4350  0.3592  0.3133  0.2595
    3   130.773   841.246  0.044  0.035    8.265  110.598  7436.641 10085.033   4.105   2.885   15.276    5.781  129  133  840  842 +2.068307e+07 +1.539788e+05 +1.722628e+07 0.00000 1 G93    3    1  1.0000  0.9199  0.8490  0.7512  0.7108  0.5650  0.5217  0.4104  0.3519  0.2937  0.2427
    4    83.091   842.629  0.024  0.031    8.462  110.568  7614.095 10082.263   3.934   2.926   14.642    5.863   81   85  841  844 +2.913951e+07 +1.543570e+05 +2.473433e+07 0.00000 1 None    4    1  1.0000  0.9304  0.8347  0.7634  0.7146  0.6234  0.5509  0.4734  0.4038  0.3436  0.3212
    5    86.065   849.838  0.030  0.059    8.450  110.410  7603.028 10067.818   3.455   3.615   12.857    7.243   85   87  849  851 +1.742037e+07 +1.575187e+05 +1.483661e+07 0.00000 1 None    5    1  1.0000  0.8749  0.8250  0.7093  0.6582  0.5169  0.4525  0.3572  0.2950  0.2429  0.1942
    6   101.685   861.928  0.015  0.017    8.385  110.144  7544.895 10043.595   3.342   3.344   12.437    6.699  100  104  860  864 +4.556462e+07 +1.540608e+05 +3.979074e+07 0.00000 1 None    6    1  1.0000  0.9448  0.8748  0.8255  0.7598  0.6557  0.5636  0.4802  0.4182  0.3634  0.3191
    7    89.201   862.661  0.012  0.020    8.437  110.128  7591.355 10042.126   3.364   3.132   12.521    6.276   87   91  861  864 +5.154686e+07 +1.551983e+05 +4.479756e+07 0.00000 1 None    7    1  1.0000  0.9030  0.8245  0.7710  0.7041  0.5963  0.5161  0.4448  0.3827  0.3164  0.2649
    8    89.081   866.012  0.054  0.015    8.437  110.054  7591.803 10035.413   3.604   1.527   13.415    3.060   89   89  866  866 -1.208616e+07 +1.763490e+05 -6.228553e+06 0.00000 1 None    8    1  1.0000  0.7337 -0.7416  0.7729  0.5880  0.5979  0.5294  0.4273  0.3712  0.3471  0.2754
    9    89.291   868.505  0.060  0.051    8.436  110.000  7591.021 10030.416   3.363   2.261   12.516    4.531   89   90  868  869 +1.470676e+07 +1.817175e+05 +1.103118e+07 0.00000 1 None    9    3  1.0000  0.7286  0.6917  0.6905  0.6193  0.5400  0.5131  0.4196  0.3358  0.3112  0.2880
   10    93.163   870.629  0.047  0.085    8.420  109.953  7576.611 10026.162   4.227   3.839   15.730    7.692   92   95  869  872 +1.851836e+07 +1.521552e+05 +1.644205e+07 0.00000 1 None    9    3  1.0000  0.9302  0.8412  0.7658  0.6825  0.5858  0.4779  0.3693  0.3192  0.2973  0.2319
   11    97.950   875.129  0.032  0.045    8.401  109.854  7558.793 10017.146   4.588   4.149   17.074    8.312   95  101  872  877 +2.754043e+07 +1.496953e+05 +2.543747e+07 0.00000 1 None    9    3  1.0000  0.8900  0.8175  0.7290  0.6643  0.5379  0.4362  0.3649  0.2776  0.2274  0.1977
   12   107.853   877.913  0.010  0.012    8.360  109.793  7521.938 10011.566   3.338   3.018   12.423    6.047  106  110  876  880 +5.321070e+07 +1.522893e+05 +4.470680e+07 0.00000 1 None   10    1  1.0000  0.9045  0.8417  0.7676  0.7027  0.5851  0.4989  0.4258  0.3611  0.3018  0.2499
   13    89.939   882.093  0.013  0.031    8.434  109.701  7588.610 10003.193   3.308   3.957   12.311    7.929   88   92  880  884 +3.528512e+07 +1.499063e+05 +3.220048e+07 0.00000 1 None   11    1  1.0000  0.9107  0.8509  0.7818  0.7144  0.5958  0.5004  0.4281  0.3483  0.3115  0.2564
   14   146.343   922.999  0.036  0.017    8.200  108.802  7378.692  9921.232   4.017   2.729   14.951    5.468  144  149  922  924 +2.894962e+07 +1.527117e+05 +2.375109e+07 0.00000 1 G68   12    1  1.0000  0.9310  0.8553  0.7969  0.7483  0.6641  0.5863  0.5139  0.4458  0.3959  0.3518
   15    85.905   954.852  0.035  0.052    8.450  108.102  7603.621  9857.411   3.711   3.482   13.809    6.976   84   88  954  956 +1.744528e+07 +1.514877e+05 +1.536208e+07 0.00000 1 G86   13    1  1.0000  0.9018  0.8450  0.7537  0.7365  0.6266  0.5452  0.4878  0.4151  0.3466  0.3055
   16   126.230   972.432  0.043  0.058    8.284  107.716  7453.548  9822.188   3.843   3.088   14.301    6.188  125  128  971  974 +1.970579e+07 +1.578258e+05 +1.688963e+07 0.00000 1 G31   14    1  1.0000  0.9011  0.8169  0.7301  0.6427  0.5339  0.4962  0.3802  0.3204  0.2664  0.2365
   17   144.212   615.206  0.032  0.031    8.209  115.565  7386.624 10537.931   3.711   3.088   13.811    6.187  141  146  613  616 +1.703229e+06 +1.628500e+05 +5.163246e+06 0.00000 1 S9   15    1  1.0000  0.8413  0.7884  0.6998  0.5590  0.4513  0.3579  0.3418  0.1973  0.1859  0.1399
   18   188.910   342.853  0.032  0.031    8.024  121.550  7220.274 11083.623   3.711   3.088   13.811    6.187  186  191  341  344 +1.871250e+06 +1.628500e+05 +2.072932e+07 0.00000 1 L8   16    1  1.0000  0.9104  0.8085  0.7345  0.6779  0.5627  0.4683  0.3948  0.3215  0.2779  0.2468
   19   230.699   441.803  0.032  0.031    7.852  119.375  7064.750 10885.364   3.711   3.088   13.811    6.187  228  233  440  443 +1.675180e+07 +1.426694e+05 +5.179237e+07 0.00000 1 V37   17    1  1.0000  0.8966  0.8012  0.7213  0.6465  0.5209  0.4210  0.3326  0.2709  0.2216  0.1720
   20   226.934   425.277  0.032  0.031    7.867  119.739  7078.760 10918.477   3.711   3.088   13.811    6.187  224  229  423  426 +1.657387e+07 +1.426694e+05 +5.277882e+07 0.00000 1 V48   18    1  1.0000  0.9232  0.8355  0.7557  0.6840  0.5548  0.4593  0.3787  0.3227  0.2684  0.2152
   21   208.285   943.797  0.032  0.031    7.944  108.345  7148.167  9879.562   3.711   3.088   13.811    6.187  205  210  942  945 +3.298891e+07 +1.426694e+05 +8.837451e+07 0.00000 1 A140   19    1  1.0000  0.9607  0.8983  0.8542  0.8343  0.8106  0.7313  0.6767  0.6533  0.5912  0.5448
